match_id,date,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,year,day_of_week,target,venue_team1_win_pct,h2h_win_pct,team1_form,team2_form,toss_impact,match_number,season_stage,team1_top_batsman_avg,team2_top_bowler_sr,is_playoff,rivalry_score,venue_toss_impact,team1_toss_preference,days_since_last,month,team1_strength,team2_strength,pressure_index,team1_top3_batting_avg,team2_top3_batting_avg,team1_top3_bowling_sr,team2_top3_bowling_sr,team1_powerplay_avg,team2_powerplay_avg,team1_powerplay_wickets,team2_powerplay_wickets,powerplay_dominance,win_correlation
336020,2008-05-15,Delhi,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,Delhi Capitals,12,0,2008,Thursday,1,0.4625,0.4,0.75,0.4,0,37,middle,34.173228346456700,108.88888888888900,0,0.1,0.4390243902439020,0.3858267716535430,7.0,5,0.5587500000000000,0.47875,0.03,0.0,22.666666666666700,0.0,1.8518518518518500,0.0,11.833333333333300,0.0,1.0,-11.833333333333300,0
336021,2008-05-16,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,0,8,2008,Friday,1,0.6049382716049380,0.75,0.8,0.2,1,38,middle,36.69354838709680,110.15151515151500,0,0.1,0.5384615384615380,0.3387096774193550,2.0,5,0.7264814814814820,0.3364814814814820,0.03,19.333333333333300,6.666666666666670,4.524886877828050,5.263157894736840,11.333333333333300,4.5,2.0,3.0,6.833333333333330,1
336023,2008-05-17,Jaipur,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Rajasthan Royals,65,0,2008,Saturday,1,0.6078431372549020,0.4,1.0,0.2,0,39,late,36.44230769230770,109.82142857142900,0,0.1,0.5625,0.3653846153846150,6.0,5,0.7023529411764710,0.4423529411764710,0.23,21.5,6.666666666666670,0.0,5.158730158730160,8.5,3.8333333333333300,0.0,2.0,4.666666666666670,1
336022,2008-05-17,Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,6,0,2008,Saturday,0,0.4625,0.4705882352941180,0.6,0.6,0,40,late,34.173228346456700,109.6,0,0.1,0.4390243902439020,0.3858267716535430,2.0,5,0.5199264705882350,0.5375735294117650,0.23,0.0,21.666666666666700,0.0,5.5555555555555500,0.0,12.166666666666700,0.0,2.0,-12.166666666666700,1
336024,2008-05-18,Hyderabad,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,25,0,2008,Sunday,0,0.1666666666666670,0.3333333333333330,0.0,0.5,0,41,late,30.0,110.70422535211300,1,0.1,0.0,0.4358974358974360,7.0,5,0.1500000000000000,0.45,0.73,9.333333333333330,18.666666666666700,4.761904761904760,5.5555555555555500,5.333333333333330,9.5,1.0,1.0,-4.166666666666670,1
336025,2008-05-18,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,3,0,2008,Sunday,0,0.5802469135802470,0.3333333333333330,0.6,0.6,0,42,late,35.725806451612900,111.30434782608700,1,0.1,0.6585365853658540,0.314516129032258,5.0,5,0.514074074074074,0.6140740740740740,0.73,10.0,20.0,2.631578947368420,0.0,5.833333333333330,7.166666666666670,1.0,0.0,-1.333333333333330,1
336026,2008-05-19,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,5,2008,Monday,0,0.4545454545454550,0.4444444444444440,0.2,0.4,1,43,late,34.18918918918920,109.14728682170500,1,0.1,0.4761904761904760,0.2635135135135140,14.0,5,0.3496969696969700,0.463030303030303,0.73,0.0,30.5,0.0,0.0,0.0,11.833333333333300,0.0,0.0,-11.833333333333300,1
336027,2008-05-20,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,6,2008,Tuesday,0,0.5802469135802470,0.5625,0.4,0.6,1,44,late,35.725806451612900,109.67213114754100,1,0.1,0.6585365853658540,0.314516129032258,2.0,5,0.502824074074074,0.545324074074074,0.73,9.333333333333330,14.0,2.7777777777777800,5.5555555555555500,5.333333333333330,7.0,1.0,1.0,-1.666666666666670,1
336029,2008-05-21,Chennai,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,14,0,2008,Wednesday,0,0.6774193548387100,0.8333333333333330,0.4,0.2,1,45,late,37.578125,109.82142857142900,1,0.1,0.5853658536585370,0.5234375,11.0,5,0.613225806451613,0.3332258064516130,0.73,18.5,7.333333333333330,0.0,5.555555555555560,7.333333333333330,3.8333333333333300,0.0,2.0,3.5000000000000000,0
336028,2008-05-21,Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,1,0,2008,Wednesday,0,0.6049382716049380,0.4666666666666670,0.8,0.8,0,46,late,36.69354838709680,109.6,1,0.1,0.5384615384615380,0.3387096774193550,5.0,5,0.6414814814814820,0.6614814814814820,0.73,18.666666666666700,14.0,1.5873015873015900,1.8518518518518500,11.333333333333300,7.166666666666670,1.0,1.0,4.166666666666670,0
